"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","CHN.PCPIEPCH.A","OBS_VALUE","China, People's Republic of","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","","","","","","11.200","6.600","8.900","27.900","6.600","4.300","4.500","8.800","19.842","25.417","10.234","6.833","0.386","-1.093","-1.233","1.511","-0.341","-0.455","3.207","2.521","1.683","2.830","6.465","1.132","1.793","4.517","4.139","2.544","2.479","1.466","1.669","1.945","1.825","1.918","4.421","0.212","1.529","1.829","-0.226","0.041","0.541"
"IMF.RES:WEO(9.0.0)","RUS.GGX.A","OBS_VALUE","Russian Federation","Expenditure, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","1118.106","1771.877","2399.176","3015.076","3924.392","4613.409","5405.393","6820.645","8375.228","11378.578","14157.027","16048.336","17616.656","19994.645","23174.718","25290.909","27611.666","29307.781","31323.679","31989.128","33880.686","36995.283","42150.921","47072.611","55181.806","62983.647","74166.338","80515.851"
"IMF.RES:WEO(9.0.0)","RUS.PPPPC.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Units","","","","","","","","","","","","","10914.879","10206.925","9104.048","8915.746","8766.582","9055.409","8684.485","9395.434","10618.888","11458.242","12244.785","13465.966","14875.907","16386.165","18330.648","20472.060","21970.970","20371.407","21539.723","22835.371","24135.779","24903.268","25052.746","24709.704","24921.926","25777.891","28448.531","30963.856","31490.815","38638.428","40932.467","44305.104","47430.649","49048.991"
"IMF.RES:WEO(9.0.0)","RUS.NGDPRPC.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","","","","","","","","","","","","","568881.372","519666.546","453824.384","435311.814","420333.003","426821.390","404788.336","431815.710","477235.499","503618.295","529953.165","571522.647","614831.320","656659.614","712606.946","774861.564","815877.719","751842.067","785415.057","815826.483","846523.711","858824.937","849189.420","829860.115","829109.075","842497.345","865376.947","883913.599","861578.846","915156.814","905115.890","944737.448","986884.967","996326.175"
"IMF.RES:WEO(9.0.0)","CHN.NGDPRPPPPC.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","Annual","Units","782.361","811.029","870.264","951.578","1082.047","1210.802","1298.253","1426.360","1561.454","1602.811","1641.407","1785.613","2017.072","2272.062","2541.171","2791.507","3037.965","3287.837","3516.408","3758.305","4049.674","4356.201","4727.004","5174.261","5664.289","6275.031","7032.514","7986.492","8711.870","9488.408","10442.761","11359.810","12160.614","13028.505","13910.910","14814.049","15714.853","16704.297","17766.024","18781.079","19192.148","20827.093","21488.179","22676.970","23834.953","25034.897"
"IMF.RES:WEO(9.0.0)","RUS.NGDP_D.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Price deflator, Index","Annual","Units","","","","","","","","","","","","","0.024","0.238","0.971","2.370","3.455","3.976","4.714","8.129","11.188","13.035","15.070","17.119","20.597","24.568","28.292","32.193","37.975","38.733","44.224","51.521","56.111","59.096","63.522","68.127","70.065","73.813","81.193","83.843","84.596","100.000","118.185","127.638","139.477","146.664"
"IMF.RES:WEO(9.0.0)","CHN.GGR_NGDP.A","OBS_VALUE","China, People's Republic of","Revenue, General government, Percent of GDP","Annual","Units","","","24.451","24.638","23.477","23.380","21.958","19.700","17.191","17.650","17.454","15.497","13.433","12.543","10.691","10.132","10.256","10.782","11.520","12.555","13.259","14.649","15.363","15.608","16.115","16.608","16.930","17.925","22.133","23.501","24.309","26.551","27.397","27.281","27.740","28.512","28.366","28.675","28.440","27.605","25.275","26.009","25.323","26.026","25.602","25.079"
"IMF.RES:WEO(9.0.0)","CHN.NGDP_R.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Constant prices, Domestic currency","Annual","Billions","2653.619","2788.954","3039.959","3368.275","3880.253","4404.132","4796.100","5357.244","5957.255","6207.460","6448.818","7106.805","8121.453","9253.224","10465.602","11618.511","12776.660","13967.297","15075.453","16244.883","17637.471","19104.810","20865.193","22977.025","25301.188","28194.844","31765.583","36261.555","39756.507","43511.510","48117.958","52665.566","56798.579","61212.191","65797.797","70415.749","75186.802","80367.892","85799.647","91003.169","93129.531","101097.421","104243.655","109848.646","115344.138","120875.716"
"IMF.RES:WEO(9.0.0)","CHN.GGXWDG_NGDP.A","OBS_VALUE","China, People's Republic of","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","21.424","21.221","20.394","20.438","21.609","22.708","24.252","25.553","26.418","26.000","25.910","25.174","28.708","26.715","33.985","33.343","33.184","33.825","36.438","39.308","40.782","49.720","53.903","55.577","59.441","69.035","70.147","75.453","82.014","88.319","96.262"
"IMF.RES:WEO(9.0.0)","CHN.TM_RPCH.A","OBS_VALUE","China, People's Republic of","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","","","","","","","","","","","","","","","","","","","9.412","13.851","25.005","14.615","21.943","31.942","20.333","15.182","16.000","14.087","5.076","2.027","22.058","17.810","6.764","10.650","7.735","-0.264","5.856","6.059","8.097","-2.261","-6.724","10.796","-2.889","7.424","6.001","3.614"
